model,domain,factor,ATE,ci_low,ci_high,n_pairs
deepseek-v4-flash,health,S1,0.28859060402684567,0.1829799107142857,0.40229145766452645,450
deepseek-v4-flash,health,S2,0.017977528089887642,-0.07404708520179372,0.11062820815758118,450
deepseek-v4-flash,health,S3,0.18058690744920994,0.07172861232824701,0.29093274372686134,450
deepseek-v4-flash,health,S4,0.09192825112107623,-0.006668161434977579,0.18369874977017833,450
deepseek-v4-flash,health,O1,0.026905829596412557,-0.04730264767029473,0.11137103082664435,450
deepseek-v4-flash,health,O2,0.08295964125560538,-0.020408496732026143,0.18333939193654983,450
deepseek-v4-flash,health,O3,0.06950672645739911,-0.024665062729883606,0.16180686304281808,450
deepseek-v4-flash,health,O4,0.07589285714285714,0.01116009286509704,0.1451055513292761,450
deepseek-v4-flash,travel,S1,0.22297297297297297,0.14055797599938852,0.3115197051888571,450
deepseek-v4-flash,travel,S2,-0.029213483146067417,-0.10503770971217484,0.042795207735952655,450
deepseek-v4-flash,travel,S3,-0.10538116591928251,-0.19689012894955132,-0.02702550865472214,450
deepseek-v4-flash,travel,S4,-0.0022471910112359553,-0.07830857401402609,0.06487695749440715,450
deepseek-v4-flash,travel,O1,-0.0045045045045045045,-0.06068100540238922,0.049773755656108594,450
deepseek-v4-flash,travel,O2,-0.035955056179775284,-0.10072132670182166,0.02242152466367713,450
deepseek-v4-flash,travel,O3,-0.03811659192825112,-0.1036036036036036,0.02013535678815421,450
deepseek-v4-flash,travel,O4,0.05580357142857143,-0.024498886414253896,0.13171119274503523,450
doubao-seed-2-0-mini-260428,academic_qa,S1,-0.03777777777777778,-0.14444444444444443,0.062277777777777724,450
doubao-seed-2-0-mini-260428,academic_qa,S2,-0.13111111111111112,-0.2288888888888889,-0.03777777777777778,450
doubao-seed-2-0-mini-260428,academic_qa,S3,0.12222222222222222,0.024388888888888894,0.21777777777777776,450
doubao-seed-2-0-mini-260428,academic_qa,S4,0.06222222222222222,-0.008888888888888889,0.14,450
doubao-seed-2-0-mini-260428,academic_qa,O1,-0.05555555555555555,-0.15338888888888888,0.03561111111111106,450
doubao-seed-2-0-mini-260428,academic_qa,O2,-0.02666666666666667,-0.1111111111111111,0.04672222222222217,450
doubao-seed-2-0-mini-260428,academic_qa,O3,-0.006666666666666667,-0.08222222222222222,0.06672222222222217,450
doubao-seed-2-0-mini-260428,academic_qa,O4,0.06222222222222222,-0.04,0.16,450
doubao-seed-2-0-mini-260428,consumer_product,S1,0.15555555555555556,0.06661111111111111,0.24888888888888888,450
doubao-seed-2-0-mini-260428,consumer_product,S2,-0.13333333333333333,-0.2422777777777778,-0.022222222222222223,450
